combo_label,n_total,n_graded,n_ungraded,wins,losses,pushes,hit_rate_pct,hit_rate_ci95_low,hit_rate_ci95_high,roi_pct,roi_ci95_low,roi_ci95_high,profit_units,stake_units,balanced_score,devig_grd,devig_roi,onesided_std_grd,onesided_std_roi,onesided_alt_grd,onesided_alt_roi
HR20=90 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.6,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.7,5,4,1,1,3,0,25.0,4.56,69.94,-72.0,-100.0,-16.0,-2.88,4.0,,0,,4,-72.0,0,
HR20=90 CV<==0.8,7,6,1,3,3,0,50.0,18.76,81.24,-41.66,-81.33,-1.33,-2.4998,6.0,,0,,6,-41.66,0,
HR20=90 CV<==0.9,7,6,1,3,3,0,50.0,18.76,81.24,-41.66,-81.33,-1.33,-2.4998,6.0,,0,,6,-41.66,0,
HR20=90 CV<==1.0,7,6,1,3,3,0,50.0,18.76,81.24,-41.66,-81.33,-1.33,-2.4998,6.0,,0,,6,-41.66,0,
HR20=90 CV<==1.1,8,7,1,3,4,0,42.86,15.82,74.95,-50.0,-84.0,-15.28,-3.4998,7.0,,0,,7,-50.0,0,
HR20=85 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.6,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.7,7,4,3,1,3,0,25.0,4.56,69.94,-72.0,-100.0,-16.0,-2.88,4.0,,0,,4,-72.0,0,
HR20=85 CV<==0.8,10,6,4,3,3,0,50.0,18.76,81.24,-41.66,-81.33,-1.33,-2.4998,6.0,,0,,6,-41.66,0,
HR20=85 CV<==0.9,10,6,4,3,3,0,50.0,18.76,81.24,-41.66,-81.33,-1.33,-2.4998,6.0,,0,,6,-41.66,0,
HR20=85 CV<==1.0,10,6,4,3,3,0,50.0,18.76,81.24,-41.66,-81.33,-1.33,-2.4998,6.0,,0,,6,-41.66,0,
HR20=85 CV<==1.1,11,7,4,3,4,0,42.86,15.82,74.95,-50.0,-84.0,-15.28,-3.4998,7.0,,0,,7,-50.0,0,
HR20=80 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==0.6,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==0.7,8,5,3,2,3,0,40.0,11.76,76.93,-55.6,-100.0,-10.8,-2.78,5.0,,0,,5,-55.6,0,
HR20=80 CV<==0.8,13,9,4,5,4,0,55.56,26.66,81.12,-35.89,-74.33,2.78,-3.2297,9.0,,0,,9,-35.89,0,
HR20=80 CV<==0.9,15,11,4,6,5,0,54.55,28.01,78.73,-36.27,-69.0,-3.27,-3.9899,11.0,,0,,11,-36.27,0,
HR20=80 CV<==1.0,16,12,4,7,5,0,58.33,31.95,80.67,-31.67,-62.58,-1.01,-3.7998,12.0,,0,,12,-31.67,0,
HR20=80 CV<==1.1,19,14,5,7,7,0,50.0,26.8,73.2,-41.43,-67.5,-8.36,-5.7998,14.0,,0,,14,-41.43,0,
HR20=75 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=75 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=75 CV<==0.6,4,3,1,1,2,0,33.33,6.15,79.23,-57.66,-100.0,27.03,-1.7297,3.0,,0,,3,-57.66,0,
HR20=75 CV<==0.7,16,12,4,5,7,0,41.67,19.33,68.05,-49.16,-81.33,-14.01,-5.8993,12.0,,0,,12,-49.16,0,
HR20=75 CV<==0.8,21,16,5,8,8,0,50.0,28.0,72.0,-39.68,-64.0,-9.93,-6.3491,16.0,,0,,16,-39.68,0,
HR20=75 CV<==0.9,26,21,5,11,10,0,52.38,32.37,71.66,-36.33,-59.95,-11.57,-7.6289,21.0,0.2207,0,,21,-36.33,0,
HR20=75 CV<==1.0,27,22,5,12,10,0,54.55,34.66,73.08,-33.81,-60.45,-7.0,-7.4388,22.0,0.2569,0,,22,-33.81,0,
HR20=75 CV<==1.1,30,24,6,12,12,0,50.0,31.43,68.57,-39.33,-60.12,-14.24,-9.4388,24.0,0.2,0,,24,-39.33,0,
HR20=70 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=70 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=70 CV<==0.6,5,4,1,2,2,0,50.0,15.0,85.0,-37.5,-100.0,25.01,-1.4998,4.0,,0,,4,-37.5,0,
HR20=70 CV<==0.7,18,14,4,6,8,0,42.86,21.38,67.41,-47.64,-74.93,-13.98,-6.6694,14.0,,0,,14,-47.64,0,
HR20=70 CV<==0.8,25,20,5,11,9,0,55.0,34.21,74.18,-32.74,-58.25,-7.94,-6.5486,20.0,0.2443,0,,20,-32.74,0,
HR20=70 CV<==0.9,31,26,5,15,11,0,57.69,38.95,74.46,-29.42,-53.38,-5.76,-7.6486,26.0,0.2961,0,,26,-29.42,0,
HR20=70 CV<==1.0,36,31,5,19,12,0,61.29,43.82,76.27,-24.77,-45.81,-5.7,-7.6785,31.0,0.3411,0,,31,-24.77,0,
HR20=70 CV<==1.1,39,33,6,19,14,0,57.58,40.81,72.76,-29.33,-48.63,-7.21,-9.6785,33.0,0.2947,0,,33,-29.33,0,
HR20=65 CV<==0.4,1,1,0,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,,0,,1,-100.0,0,
HR20=65 CV<==0.5,1,1,0,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,,0,,1,-100.0,0,
HR20=65 CV<==0.6,7,6,1,3,3,0,50.0,18.76,81.24,-38.16,-79.83,4.18,-2.2898,6.0,,0,,6,-38.16,0,
HR20=65 CV<==0.7,23,19,4,8,11,0,42.11,23.14,63.72,-48.21,-74.47,-21.52,-9.159,19.0,,0,,19,-48.21,0,
HR20=65 CV<==0.8,32,27,5,15,12,0,55.56,37.31,72.41,-31.59,-54.48,-9.62,-8.5283,27.0,0.2695,0,,27,-31.59,0,
HR20=65 CV<==0.9,42,36,6,22,14,0,61.11,44.86,75.22,-25.3,-44.44,-5.39,-9.1081,36.0,0.3389,0,,36,-25.3,0,
HR20=65 CV<==1.0,50,43,7,26,17,0,60.47,45.58,73.63,-25.9,-42.91,-7.16,-11.138,43.0,0.3309,0,,43,-25.9,0,
HR20=65 CV<==1.1,53,45,8,26,19,0,57.78,43.3,71.03,-29.2,-47.48,-12.17,-13.138,45.0,0.2973,0,,45,-29.2,0,
HR20=60 CV<==0.4,1,1,0,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,,0,,1,-100.0,0,
HR20=60 CV<==0.5,1,1,0,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,,0,,1,-100.0,0,
HR20=60 CV<==0.6,8,7,1,4,3,0,57.14,25.05,84.18,-28.57,-81.57,8.86,-1.9999,7.0,,0,,7,-28.57,0,
HR20=60 CV<==0.7,24,20,4,9,11,0,45.0,25.82,65.79,-44.35,-69.8,-18.99,-8.8692,20.0,0.1818,0,,20,-44.35,0,
HR20=60 CV<==0.8,35,30,5,18,12,0,60.0,42.32,75.41,-25.73,-46.7,-4.59,-7.7179,30.0,0.325,0,,30,-25.73,0,
HR20=60 CV<==0.9,48,40,8,26,14,0,65.0,49.51,77.87,-20.07,-37.97,-1.67,-8.0274,40.0,0.3875,0,,40,-20.07,0,
HR20=60 CV<==1.0,58,48,10,31,17,0,64.58,50.44,76.57,-20.68,-36.5,-3.83,-9.9273,48.0,0.3822,0,,48,-20.68,0,
HR20=60 CV<==1.1,62,51,11,32,19,0,62.75,49.02,74.68,-23.03,-39.39,-7.68,-11.7475,51.0,0.3594,0,,51,-23.03,0,
HR20=55 CV<==0.4,1,1,0,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,,0,,1,-100.0,0,
HR20=55 CV<==0.5,1,1,0,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,,0,,1,-100.0,0,
HR20=55 CV<==0.6,8,7,1,4,3,0,57.14,25.05,84.18,-28.57,-81.57,8.86,-1.9999,7.0,,0,,7,-28.57,0,
HR20=55 CV<==0.7,25,21,4,10,11,0,47.62,28.34,67.63,-41.0,-67.43,-14.04,-8.6094,21.0,0.1909,0,,21,-41.0,0,
HR20=55 CV<==0.8,39,34,5,20,14,0,58.82,42.22,73.63,-27.23,-47.41,-5.7,-9.2581,34.0,0.3103,0,,34,-27.23,0,
HR20=55 CV<==0.9,53,45,8,29,16,0,64.44,49.84,76.78,-20.73,-39.55,-4.26,-9.3279,45.0,0.3805,0,,45,-20.73,0,
HR20=55 CV<==1.0,63,53,10,34,19,0,64.15,50.69,75.7,-21.18,-36.73,-5.59,-11.2278,53.0,0.3769,0,,53,-21.18,0,
HR20=55 CV<==1.1,68,57,11,35,22,0,61.4,48.43,72.94,-24.65,-41.72,-8.78,-14.0479,57.0,0.3425,0,,57,-24.65,0,
