combo_label,n_total,n_graded,n_ungraded,wins,losses,pushes,hit_rate_pct,hit_rate_ci95_low,hit_rate_ci95_high,roi_pct,roi_ci95_low,roi_ci95_high,profit_units,stake_units,balanced_score,devig_grd,devig_roi,onesided_std_grd,onesided_std_roi,onesided_alt_grd,onesided_alt_roi
HR20=90 CV<==0.4,11,10,1,8,2,0,80.0,49.02,94.33,-5.01,-39.52,20.32,-0.5013,10.0,,0,,10,-5.01,0,
HR20=90 CV<==0.5,15,14,1,10,4,0,71.43,45.35,88.28,-14.21,-47.84,12.03,-1.9901,14.0,,0,,14,-14.21,0,
HR20=90 CV<==0.6,25,23,2,18,5,0,78.26,58.1,90.34,-5.75,-27.41,11.76,-1.3218,23.0,0.4963,0,,23,-5.75,0,
HR20=90 CV<==0.7,39,34,5,27,7,0,79.41,63.2,89.65,-2.82,-20.36,11.88,-0.9596,34.0,0.5642,0,,34,-2.82,0,
HR20=90 CV<==0.8,47,41,6,33,8,0,80.49,65.99,89.77,-1.07,-15.55,13.13,-0.4391,41.0,0.6105,0,,41,-1.07,0,
HR20=90 CV<==0.9,47,41,6,33,8,0,80.49,65.99,89.77,-1.07,-15.55,13.13,-0.4391,41.0,0.6105,0,,41,-1.07,0,
HR20=90 CV<==1.0,47,41,6,33,8,0,80.49,65.99,89.77,-1.07,-15.55,13.13,-0.4391,41.0,0.6105,0,,41,-1.07,0,
HR20=90 CV<==1.1,47,41,6,33,8,0,80.49,65.99,89.77,-1.07,-15.55,13.13,-0.4391,41.0,0.6105,0,,41,-1.07,0,
HR20=85 CV<==0.4,15,14,1,11,3,0,78.57,52.41,92.43,-5.24,-32.11,19.9,-0.7339,14.0,,0,,14,-5.24,0,
HR20=85 CV<==0.5,22,21,1,16,5,0,76.19,54.91,89.37,-6.64,-30.02,15.9,-1.3942,21.0,0.4571,0,,21,-6.64,0,
HR20=85 CV<==0.6,34,32,2,26,6,0,81.25,64.69,91.11,-0.46,-19.18,15.25,-0.1467,32.0,0.6064,0,,32,-0.46,0,
HR20=85 CV<==0.7,55,50,5,40,10,0,80.0,66.96,88.76,-1.04,-15.81,11.65,-0.5206,50.0,0.6245,0,,50,-1.04,0,
HR20=85 CV<==0.8,82,73,9,59,14,0,80.82,70.34,88.22,0.37,-10.33,11.2,0.2665,73.0,0.6994,0,,73,0.37,0,
HR20=85 CV<==0.9,83,73,10,59,14,0,80.82,70.34,88.22,0.37,-10.33,11.2,0.2665,73.0,0.6994,0,,73,0.37,0,
