combo_label,n_total,n_graded,n_ungraded,wins,losses,pushes,hit_rate_pct,hit_rate_ci95_low,hit_rate_ci95_high,roi_pct,roi_ci95_low,roi_ci95_high,profit_units,stake_units,balanced_score,devig_grd,devig_roi,onesided_std_grd,onesided_std_roi,onesided_alt_grd,onesided_alt_roi
HR20=90 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.6,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.7,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.8,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.9,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==1.0,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==1.1,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.6,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.7,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.8,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.9,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==1.0,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==1.1,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==0.6,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==0.7,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==0.8,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==0.9,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==1.0,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==1.1,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=75 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=75 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=75 CV<==0.6,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=75 CV<==0.7,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=75 CV<==0.8,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=75 CV<==0.9,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=75 CV<==1.0,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=75 CV<==1.1,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=70 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=70 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=70 CV<==0.6,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=70 CV<==0.7,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=70 CV<==0.8,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=70 CV<==0.9,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=70 CV<==1.0,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=70 CV<==1.1,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=65 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=65 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=65 CV<==0.6,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=65 CV<==0.7,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=65 CV<==0.8,4,4,0,1,3,0,25.0,4.56,69.94,-37.5,-100.0,87.5,-1.5,4.0,,0,,4,-37.5,0,
HR20=65 CV<==0.9,4,4,0,1,3,0,25.0,4.56,69.94,-37.5,-100.0,87.5,-1.5,4.0,,0,,4,-37.5,0,
HR20=65 CV<==1.0,5,5,0,2,3,0,40.0,11.76,76.93,2.0,-100.0,106.0,0.1,5.0,,0,,5,2.0,0,
HR20=65 CV<==1.1,5,5,0,2,3,0,40.0,11.76,76.93,2.0,-100.0,106.0,0.1,5.0,,0,,5,2.0,0,
HR20=60 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=60 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=60 CV<==0.6,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
